Disco Messages
Device Address,Device Name,Disco

Parameters
Device Path,Device Name,Node Addr (hex),Node Addr (dec),Object Addr (hex),Object Addr (dec),Parameter Path,Parameter,Command Type,Value,Command
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="02000009",9,Logic [0x2] : Patio Partition [0.0.9],Logic Source [0x1],Set,On,\x02\x88\x00\x01\x1B\x82\x00\x00\x09\x00\x01\x00\x00\x00\x01\x82\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="02000009",9,Logic [0x2] : Patio Partition [0.0.9],Logic Source [0x1],Set,Off,\x02\x88\x00\x01\x1B\x82\x00\x00\x09\x00\x01\x00\x00\x00\x00\x83\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0200000A",10,Logic [0x2] : Birmingham Partition [0.0.A],Logic Source [0x1],Set,On,\x02\x88\x00\x01\x1B\x82\x00\x00\x0A\x00\x01\x00\x00\x00\x01\x81\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0200000A",10,Logic [0x2] : Birmingham Partition [0.0.A],Logic Source [0x1],Set,Off,\x02\x88\x00\x01\x1B\x82\x00\x00\x0A\x00\x01\x00\x00\x00\x00\x80\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0200000D",13,Logic [0x2] : Grand Rapids Partition [0.0.D],Logic Source [0x1],Set,On,\x02\x88\x00\x01\x1B\x82\x00\x00\x0D\x00\x01\x00\x00\x00\x01\x86\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0200000D",13,Logic [0x2] : Grand Rapids Partition [0.0.D],Logic Source [0x1],Set,Off,\x02\x88\x00\x01\x1B\x82\x00\x00\x0D\x00\x01\x00\x00\x00\x00\x87\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="02000010",16,Logic [0x2] : Grand Rapids Detroit Partition [0.0.10],Logic Source [0x1],Set,On,\x02\x88\x00\x01\x1B\x82\x00\x00\x10\x00\x01\x00\x00\x00\x01\x9B\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="02000010",16,Logic [0x2] : Grand Rapids Detroit Partition [0.0.10],Logic Source [0x1],Set,Off,\x02\x88\x00\x01\x1B\x82\x00\x00\x10\x00\x01\x00\x00\x00\x00\x9A\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="02000016",22,Logic [0x2] : Ann Arbor Detroit Partition [0.0.16],Logic Source [0x1],Set,On,\x02\x88\x00\x01\x1B\x82\x00\x00\x16\x00\x01\x00\x00\x00\x01\x9D\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="02000016",22,Logic [0x2] : Ann Arbor Detroit Partition [0.0.16],Logic Source [0x1],Set,Off,\x02\x88\x00\x01\x1B\x82\x00\x00\x16\x00\x01\x00\x00\x00\x00\x9C\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0200001C",28,Logic [0x2] : Saginaw Partition [0.0.1C],Logic Source [0x1],Set,On,\x02\x88\x00\x01\x1B\x82\x00\x00\x1C\x00\x01\x00\x00\x00\x01\x97\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0200001C",28,Logic [0x2] : Saginaw Partition [0.0.1C],Logic Source [0x1],Set,Off,\x02\x88\x00\x01\x1B\x82\x00\x00\x1C\x00\x01\x00\x00\x00\x00\x96\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0200001D",29,Logic [0x2] : Dearborn Partition [0.0.1D],Logic Source [0x1],Set,On,\x02\x88\x00\x01\x1B\x82\x00\x00\x1D\x00\x01\x00\x00\x00\x01\x96\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0200001D",29,Logic [0x2] : Dearborn Partition [0.0.1D],Logic Source [0x1],Set,Off,\x02\x88\x00\x01\x1B\x82\x00\x00\x1D\x00\x01\x00\x00\x00\x00\x97\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0200001E",30,Logic [0x2] : Ann Arbor Partition [0.0.1E],Logic Source [0x1],Set,On,\x02\x88\x00\x01\x1B\x82\x00\x00\x1E\x00\x01\x00\x00\x00\x01\x95\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0200001E",30,Logic [0x2] : Ann Arbor Partition [0.0.1E],Logic Source [0x1],Set,Off,\x02\x88\x00\x01\x1B\x82\x00\x00\x1E\x00\x01\x00\x00\x00\x00\x94\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000100",256,Audio [0x3] : Birmingham Source Selector [0.1.0],Input Number [0x0],Set,1,\x02\x88\x00\x01\x1B\x83\x00\x01\x00\x00\x00\x00\x00\x00\x01\x8A\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000100",256,Audio [0x3] : Birmingham Source Selector [0.1.0],Input Number [0x0],Set,2,\x02\x88\x00\x01\x1B\x83\x00\x01\x00\x00\x00\x00\x00\x00\x1B\x82\x89\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000100",256,Audio [0x3] : Birmingham Source Selector [0.1.0],Input Number [0x0],Set,3,\x02\x88\x00\x01\x1B\x83\x00\x01\x00\x00\x00\x00\x00\x00\x1B\x83\x88\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000100",256,Audio [0x3] : Birmingham Source Selector [0.1.0],Input Number [0x0],Set,4,\x02\x88\x00\x01\x1B\x83\x00\x01\x00\x00\x00\x00\x00\x00\x04\x8F\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000102",258,Audio [0x3] : Grand Rapids Source Selector [0.1.2],Input Number [0x0],Set,1,\x02\x88\x00\x01\x1B\x83\x00\x01\x1B\x82\x00\x00\x00\x00\x00\x01\x88\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000102",258,Audio [0x3] : Grand Rapids Source Selector [0.1.2],Input Number [0x0],Set,2,\x02\x88\x00\x01\x1B\x83\x00\x01\x1B\x82\x00\x00\x00\x00\x00\x1B\x82\x8B\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000102",258,Audio [0x3] : Grand Rapids Source Selector [0.1.2],Input Number [0x0],Set,3,\x02\x88\x00\x01\x1B\x83\x00\x01\x1B\x82\x00\x00\x00\x00\x00\x1B\x83\x8A\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000102",258,Audio [0x3] : Grand Rapids Source Selector [0.1.2],Input Number [0x0],Set,4,\x02\x88\x00\x01\x1B\x83\x00\x01\x1B\x82\x00\x00\x00\x00\x00\x04\x8D\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000103",259,Audio [0x3] : Ann Arbor Source Selector [0.1.3],Input Number [0x0],Set,1,\x02\x88\x00\x01\x1B\x83\x00\x01\x1B\x83\x00\x00\x00\x00\x00\x01\x89\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000103",259,Audio [0x3] : Ann Arbor Source Selector [0.1.3],Input Number [0x0],Set,2,\x02\x88\x00\x01\x1B\x83\x00\x01\x1B\x83\x00\x00\x00\x00\x00\x1B\x82\x8A\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000103",259,Audio [0x3] : Ann Arbor Source Selector [0.1.3],Input Number [0x0],Set,3,\x02\x88\x00\x01\x1B\x83\x00\x01\x1B\x83\x00\x00\x00\x00\x00\x1B\x83\x8B\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000103",259,Audio [0x3] : Ann Arbor Source Selector [0.1.3],Input Number [0x0],Set,4,\x02\x88\x00\x01\x1B\x83\x00\x01\x1B\x83\x00\x00\x00\x00\x00\x04\x8C\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 1,Gain [0x0],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x0F\x00\x00\x00\x05\x00\x00\x99\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 1,Mute [0x1],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x00\x01\x00\x00\x00\x00\x85\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 1,Mute [0x1],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x00\x01\x00\x00\x00\x01\x84\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 2,Gain [0x64],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x0F\x00\x64\x00\x05\x00\x00\xFD\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 2,Mute [0x65],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x00\x65\x00\x00\x00\x00\xE1\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 2,Mute [0x65],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x00\x65\x00\x00\x00\x01\xE0\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 3,Gain [0xC8],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x0F\x00\xC8\x00\x05\x00\x00\x51\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 3,Mute [0xC9],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x00\xC9\x00\x00\x00\x00\x4D\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 3,Mute [0xC9],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x0F\x00\xC9\x00\x00\x00\x01\x4C\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300010F",271,Audio [0x3] : AutoMixer [0.1.F] : Channel 4,Gain [0x12C],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x0F\x01\x2C\x00\x05\x00\x00\xB4\x03
